id__,country,regio,s3,anni,area,s5,q3ter,q4__4,q4__5,q4__6,q4__7,q4__8,q4__9,q4__10,q5__4,q5__5,q5__6,q5__7,q5__8,q5__9,q5__10,eta,stile
33,Italia,Lombardia,Maschio,55,Nord Ovest,Solo io,"LOCALIVORI: danno priorità ai prodotti km0 e anche biologici, quando riescono cercano di autoprodursi il cibo che consum",4-5 volte all’anno,4-5 volte all’anno,4-5 volte all’anno,2-3 volte al mese,Tutti i giorni o quasi,2-3 volte a settimana,Più raramente,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,55-64,Localivori
34,Italia,Puglia,Maschio,23,Sud e Isole,Solo io,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",1 volta al mese,1 volta al mese,2-3 volte a settimana,1 volta a settimana,Tutti i giorni o quasi,Mai,1 volta al mese,Uguale,Uguale,Un po’ aumentato,Uguale,Uguale,Uguale,Uguale,20-24,Salutisti
35,Italia,Liguria,Maschio,23,Nord Ovest,Soprattutto io,"EDONISTI: persone che ricercano l’esperienza gustativa nel consumo alimentare, non si accontentano di sfamarsi per neces",2-3 volte al mese,1 volta al mese,2-3 volte a settimana,1 volta a settimana,Tutti i giorni o quasi,Tutti i giorni o quasi,2-3 volte al mese,Uguale,Un po’ aumentato,Uguale,Uguale,Uguale,Un po’ aumentato,Uguale,20-24,Edonisti
36,Italia,Abruzzo,Femmina,60,Sud e Isole,Soprattutto io,Nessuno di questi,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,1 volta a settimana,2-3 volte a settimana,1 volta a settimana,2-3 volte a settimana,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,55-64,Nessuno di questi
37,Italia,Friuli Venezia Giulia,Maschio,24,Nord Est,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1 volta a settimana,1 volta a settimana,1 volta a settimana,2-3 volte a settimana,1 volta a settimana,2-3 volte a settimana,1 volta a settimana,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,20-24,Territorialisti
38,Italia,Umbria,Maschio,34,Centro,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",4-5 volte all’anno,Tutti i giorni o quasi,1 volta al mese,Tutti i giorni o quasi,Mai,1 volta a settimana,4-5 volte all’anno,Un po’ aumentato,Un po’ aumentato,Un po’ diminuito,Uguale,Un po’ diminuito,Uguale,Un po’ diminuito,25-34,Territorialisti
39,Italia,Sardegna,Maschio,25,Sud e Isole,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,Tutti i giorni o quasi,Tutti i giorni o quasi,4-5 volte all’anno,Tutti i giorni o quasi,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,Uguale,Molto diminuito,Molto aumentato,25-34,Territorialisti
40,Italia,Abruzzo,Femmina,21,Sud e Isole,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3 volte a settimana,2-3 volte a settimana,Tutti i giorni o quasi,2-3 volte a settimana,1 volta a settimana,1 volta a settimana,2-3 volte a settimana,Molto aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,20-24,Territorialisti
41,Italia,Lombardia,Maschio,23,Nord Ovest,Solo io,"INDUSTRIARIANI: comprano nei supermercati, di cui vedono diverse qualità, tra cui avere merce sicura tutto l’anno a prez",4-5 volte all’anno,1 volta al mese,1 volta al mese,1 volta al mese,4-5 volte all’anno,4-5 volte all’anno,1 volta al mese,Un po’ aumentato,Un po’ diminuito,Uguale,Uguale,Un po’ aumentato,Uguale,Uguale,20-24,Industriariani
42,Italia,Liguria,Maschio,21,Nord Ovest,Soprattutto altri membri della famiglia,"ESTEROFILI: sempre pronti a sperimentare nuove cucine, differenti dai consueti piatti nazionali. Sono dei viaggiatori de",Tutti i giorni o quasi,2-3 volte a settimana,2-3 volte al mese,1 volta a settimana,2-3 volte al mese,2-3 volte al mese,Tutti i giorni o quasi,Un po’ diminuito,Molto diminuito,Uguale,Un po’ aumentato,Un po’ aumentato,Un po’ diminuito,Molto aumentato,20-24,Esterofili
